CLIENTNUM,Attrition_Flag,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,calculated_utilization,High_Utilization_Flag,Low_Utilization_Flag,Credit_Headroom,avg_transaction_value,Transaction_Intensity,Inactivity_Rate,High_Contact_Flag,Inactive_Customer_Flag,High_Value_Customer_Flag,Churn_Binary,Gender_M,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Utilization_Category_Low,Utilization_Category_Medium
768805383,Existing Customer,45,3,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,0.061224489795918366,0,1,11914.0,29.333333333333332,29.333333333333332,0.08333333333333333,0,0,1,0,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
818770008,Existing Customer,49,5,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,0.10465116279069768,0,1,7392.0,29.34090909090909,29.34090909090909,0.08333333333333333,0,0,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
713982108,Existing Customer,51,3,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,0.0,0,1,3418.0,52.416666666666664,52.416666666666664,0.08333333333333333,0,0,0,0,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
769911858,Existing Customer,40,4,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,0.7597343797162692,0,0,796.0,34.44117647058823,34.44117647058823,0.3333333333333333,0,1,0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
709106358,Existing Customer,40,3,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,0.0,0,1,4716.0,38.857142857142854,38.857142857142854,0.08333333333333333,0,0,0,0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False
713061558,Existing Customer,44,2,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,0.3109725685785536,0,0,2763.0,30.22222222222222,30.22222222222222,0.08333333333333333,0,0,0,0,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
810347208,Existing Customer,51,4,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,0.06559276857109746,0,1,32252.0,28.91304347826087,28.91304347826087,0.08333333333333333,0,0,1,0,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False
818906208,Existing Customer,32,0,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,0.0480038513118531,0,1,27685.0,56.96296296296296,56.96296296296296,0.16666666666666666,0,0,1,0,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False
710930508,Existing Customer,37,3,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,0.11260737294201861,0,1,19835.0,37.5,37.5,0.16666666666666666,0,0,1,0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False
719661558,Existing Customer,48,2,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,0.14387439945092656,0,1,9979.0,40.02777777777778,40.02777777777778,0.25,0,0,1,0,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
708790833,Existing Customer,42,5,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,0.21739774748073504,0,0,5281.0,38.74193548387097,38.74193548387097,0.25,0,0,0,0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
